종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","2155","-25","-1.15","2195","2195","2130","180254","387606253","114342231200","53059040"
"095570","AJ네트웍스","KOSPI",,"4285","130","3.13","4170","4360","4130","623657","2657074022","193908072315","45252759"
"006840","AK홀딩스","KOSPI",,"12230","150","1.24","12660","13500","12100","104770","1320550115","162017671030","13247561"
"054620","APS","KOSDAQ","중견기업부","4975","-75","-1.49","5020","5020","4900","17323","85321380","98973749475","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","16880","-180","-1.06","17060","17060","16600","112254","1884813290","257950386480","15281421"
"211270","AP위성","KOSDAQ","우량기업부","12580","-250","-1.95","12900","12900","12330","65222","818627770","189735384320","15082304"
"109960","AP헬스케어","KOSDAQ","투자주의환기종목(소속부없음)","329","-1","-0.30","332","334","324","439617","144290164","66059669501","200789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4330","-90","-2.04","4415","4420","4250","138895","599344661","414453705030","95716791"
"282330","BGF리테일","KOSPI",,"127400","1200","0.95","125700","127500","123000","34823","4396913000","2201969624400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3000","-20","-0.66","3025","3025","2940","36506","108194760","188300697000","62766899"
"138930","BNK금융지주","KOSPI",,"12790","-30","-0.23","12770","12980","12640","748488","9546078155","4072125208010","318383519"
"001460","BYC","KOSPI",,"39400","-800","-1.99","40150","40150","38700","3469","136097475","246098310000","6246150"
"001465","BYC우","KOSPI",,"23300","50","0.22","23250","23350","22450","9956","229087575","50184705000","2153850"
"083790","CG인바이츠","KOSDAQ","중견기업부","1775","-34","-1.88","1809","1809","1742","137187","242028827","136487173050","76894182"
"001040","CJ","KOSPI",,"158100","-6900","-4.18","165300","165300","154800","185653","29332445600","4612883383800","29176998"
"079160","CJ CGV","KOSPI",,"5110","-130","-2.48","5230","5230","5050","132137","675649675","846116365220","165580502"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","70400","-4900","-6.51","75000","75800","69000","174737","12311263050","1543812441600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9510","-10","-0.11","9520","9530","9380","5257","49665830","124252543620","13065462"
"00104K","CJ4우(전환)","KOSPI",,"129900","-4000","-2.99","134400","134600","127000","9658","1245810800","549023908800","4226512"
"000120","CJ대한통운","KOSPI",,"90300","1700","1.92","89100","90700","88100","36839","3300012300","2059954663200","22812344"
"011150","CJ씨푸드","KOSPI",,"3070","-15","-0.49","3070","3090","3020","314008","957618315","110307473110","35930773"
"011155","CJ씨푸드1우","KOSPI",,"17990","170","0.95","17950","17990","17660","80","1429490","3598000000","200000"
"001045","CJ우","KOSPI",,"84300","-4100","-4.64","88700","88700","83400","13104","1107087000","190536798900","2260223"
"097950","CJ제일제당","KOSPI",,"267000","12500","4.91","259500","267250","255000","113878","29889777500","4019467662000","15054186"
"097955","CJ제일제당 우","KOSPI",,"152100","1900","1.26","150500","152500","149500","7293","1103506950","201902559300","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","28600","400","1.42","28200","28700","27700","34767","982229325","339527359600","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1999","2","0.10","1997","2020","1982","557500","1112461785","285970009467","143056533"
"023460","CNH","KOSDAQ","관리종목(소속부없음)","109","0","0.00","0","0","0","0","0","4054800000","37200000"
"056730","CNT85","KOSDAQ","벤처기업부","804","-2","-0.25","801","834","797","16912","13537272","59585393544","74111186"
"000480","CR홀딩스","KOSPI",,"5440","0","0.00","5460","5470","5400","2801","15181360","255084265600","46890490"
"065770","CS","KOSDAQ","벤처기업부","1066","42","4.10","1028","1180","1014","860471","944001889","20692264580","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","2785","15","0.54","2800","2885","2600","663957","1818558230","170573399085","61247181"
"000590","CS홀딩스","KOSPI",,"90200","-4400","-4.65","94400","95600","89500","741","67893600","104134276400","1154482"
"012030","DB","KOSPI",,"1530","-51","-3.23","1585","1600","1513","865642","1333194706","307796117490","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2075","-15","-0.72","2085","2095","2075","9469","19722442","12118000000","5840000"
"005830","DB손해보험","KOSPI",,"122900","-2900","-2.31","125200","126300","121700","138670","17134523200","8701320000000","70800000"
"016610","DB증권","KOSPI",,"8280","-100","-1.19","8480","8480","8140","147576","1218603820","351456100920","42446389"
"000990","DB하이텍","KOSPI",,"45850","-850","-1.82","46700","46700","45100","134686","6145680500","2035675259800","44398588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1239","-4","-0.32","1350","1540","1239","3891433","5411384168","32367671931","26124029"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
"290120","DH오토리드","KOSDAQ","우량기업부","2660","0","0.00","2690","2690","2605","33665","89332885","42092502340","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","797","-11","-1.36","818","818","791","136943","109128776","38878635528","48781224"
"001530","DI동일","KOSPI",,"40650","-1350","-3.21","41550","41850","40000","73325","2977122925","801437798550","19715567"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"47050","-1750","-3.59","48550","48800","46350","125282","5884403075","985974342200","20955884"
"000215","DL우","KOSPI",,"24850","-300","-1.19","25950","25950","24300","5870","145673400","41899957750","1686115"
"375500","DL이앤씨","KOSPI",,"52500","-1000","-1.87","54900","55100","50500","465064","24294241950","2031415207500","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"35550","-150","-0.42","35750","36000","34500","4396","153773750","75079858050","2111951"
"37550K","DL이앤씨우","KOSPI",,"23650","50","0.21","24100","24100","23100","7881","183947250","49993380250","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"23300","500","2.19","22750","23300","22450","60752","1387831250","1363303154500","58510865"
"004840","DRB동일","KOSPI",,"5350","-140","-2.55","5400","5420","5210","29408","156471760","106625500000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7210","-190","-2.57","7430","7520","7150","244824","1770428310","194670000000","27000000"
"155660","DSR","KOSPI",,"4015","-15","-0.37","4040","4040","4005","9256","37191760","64240000000","16000000"
"069730","DSR제강","KOSPI",,"3690","-15","-0.40","3720","3720","3675","3365","12420980","53136000000","14400000"
"017860","DS단석","KOSPI",,"25350","100","0.40","25400","25700","24800","72881","1833341375","445759774200","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1895","-14","-0.73","1909","1944","1860","79782","152470129","93270823640","49219432"
"092780","DYP","KOSPI",,"4380","-95","-2.12","4475","4930","4315","775163","3618222717","57677854800","13168460"
